year,location_code,location_name_short_en,location_id,hs_product_name_short_en,export_value,import_value
1996,GBR,United Kingdom,81,Chemicals,4736159922,6732680403
1996,GBR,United Kingdom,81,Machinery,20979215499,22377357737
1996,GBR,United Kingdom,81,Vehicles,11658720592,13868054542
1996,HKG,Hong Kong,97,Agriculture,7477576409,8065761948
1996,HKG,Hong Kong,97,Chemicals,9727326989,3694481499
1996,HKG,Hong Kong,97,Electronics,11244960311,15254876024
1996,HKG,Hong Kong,97,Machinery,11344561459,14630171319
1996,HKG,Hong Kong,97,Other,20214468,10838012276
1996,HKG,Hong Kong,97,Textiles,12172172592,26421396290
1996,ITA,Italy,111,Agriculture,10779239502,11097133972
1996,ITA,Italy,111,Chemicals,4228006081,7204184959
1996,ITA,Italy,111,Machinery,14538140948,10611627842
1996,ITA,Italy,111,Textiles,10095488966,2058274599
1996,ITA,Italy,111,Vehicles,4862398821,7771616220
1996,JPN,Japan,114,Agriculture,816398923,21139945570
1996,JPN,Japan,114,Chemicals,8289544687,7437391843
1996,JPN,Japan,114,Electronics,40131557421,16937520658
1996,JPN,Japan,114,Machinery,75642774124,29095965638
1996,JPN,Japan,114,Minerals,1450118,10753702566
1996,JPN,Japan,114,Textiles,2792103512,13971459855
1996,JPN,Japan,114,Vehicles,29830498915,6397041191
1996,KOR,South Korea,121,Electronics,12112485344,12138854320
1996,KOR,South Korea,121,Machinery,6120624464,18579941767
1996,MEX,Mexico,138,Agriculture,5904166594,7966397987
1996,MEX,Mexico,138,Chemicals,2492127903,8228671282
1996,MEX,Mexico,138,Electronics,19665483899,14287362133
1996,MEX,Mexico,138,Machinery,11362977107,9708024153
1996,MEX,Mexico,138,Textiles,6823313054,4237295226
1996,MEX,Mexico,138,Vehicles,14321744213,5739182375
1996,MYS,Malaysia,153,Electronics,17049184190,14862734699
1996,NLD,Netherlands,162,Agriculture,18562201109,12366195169
1996,NLD,Netherlands,162,Chemicals,6707590954,6620873407
1996,NLD,Netherlands,162,Machinery,9789698654,13712392114
1996,SGP,Singapore,192,Electronics,17651114246,23373725256
1996,SGP,Singapore,192,Machinery,13509321718,5936500708
1996,TWN,Taiwan,249,Electronics,6586955385,4392497387
1996,TWN,Taiwan,249,Machinery,15862505004,12361060728
1996,TWN,Taiwan,249,Other,10838012276,20214468
1996,USA,United States of America,231,Agriculture,42324294126,36105740904
1996,USA,United States of America,231,Chemicals,34900875654,29315675936
1996,USA,United States of America,231,Electronics,62848412237,89740493651
1996,USA,United States of America,231,Machinery,108534211398,139191226951
1996,USA,United States of America,231,Metals,8387717682,12027161526
1996,USA,United States of America,231,Minerals,2853338904,31087643661
1996,USA,United States of America,231,Other,4204928512,8002813952
1996,USA,United States of America,231,Textiles,10277747480,28428832187
1996,USA,United States of America,231,Vehicles,44674171742,98702461913
1996,VEN,Venezuela,236,Minerals,12035469480,129567995
1997,ANS,Undeclared Countries,250,Minerals,7766581207,2486198546
1997,ANS,Undeclared Countries,250,Other,14054988800,2390007552
1997,ARE,United Arab Emirates,7,Minerals,11479016164,2505458
1997,BEL,Belgium,18,Agriculture,11728095046,11491886922
1997,BEL,Belgium,18,Chemicals,6312816368,5446013786
1997,BEL,Belgium,18,Vehicles,6633745439,6876635620
1997,CAN,Canada,39,Agriculture,31164110195,14680653439
1997,CAN,Canada,39,Chemicals,13700762526,17316128557
1997,CAN,Canada,39,Electronics,9634661172,17842275011
1997,CAN,Canada,39,Machinery,17706051360,35124420444
1997,CAN,Canada,39,Metals,13093074793,10095496739
1997,CAN,Canada,39,Minerals,20671218084,3470492389
1997,CAN,Canada,39,Other,8425429504,3982564352
1997,CAN,Canada,39,Textiles,6780394153,5777378847
1997,CAN,Canada,39,Vehicles,48610234824,33491780348
1997,CHN,China,43,Agriculture,8103618486,7974482637
1997,CHN,China,43,Chemicals,3797423362,10080363334
1997,CHN,China,43,Electronics,26536168695,14271871578
1997,CHN,China,43,Machinery,38875117167,21933444833
1997,CHN,China,43,Textiles,60339447328,16754323674
1997,DEU,Germany,61,Agriculture,15398812270,24086814210
1997,DEU,Germany,61,Chemicals,40576717539,33155557305
1997,DEU,Germany,61,Machinery,46247351284,37343490664
1997,DEU,Germany,61,Minerals,2486198546,7766581207
1997,DEU,Germany,61,Textiles,2026933681,8710976919
1997,DEU,Germany,61,Vehicles,47604921423,27285128736
1997,ESP,Spain,71,Vehicles,6756870698,5148646753
1997,FRA,France,77,Agriculture,14036036704,11379947304
1997,FRA,France,77,Chemicals,7832683537,8679354381
1997,FRA,France,77,Machinery,12249449707,19581171416
